pasma,mesto,skupina,min_starost,max_starost,min_visina,max_visina,min_teza,max_teza,nega,hitrost_ucenja,temperament,opis

Neapolitan Mastiff,102,Working,7,9,25.0,30.0,,,Weekly Brushing,May be Stubborn,Aloof/Wary,"An ancient breed, rediscovered in Italy in the 1940&#8217;s, the Neapolitan Mastiff is a heavy-boned, massive, awe inspiring dog bred for use as a guard and defender of owner and property. He is characterized by loose skin, over his entire body, abundant, hanging wrinkles and folds on the head and a voluminous dewlap. The essence of the Neapolitan is his bestial appearance, astounding head and imposing size and attitude. Due to his massive structure, his characteristic movement is rolling and lumbering, not elegant or showy."

Borzoi,103,Hound,9,14,,,67.5,95.0,Weekly Brushing,Independent,Alert/Responsive,"The Borzoi was originally bred for the coursing of wild game on more or less open terrain, relying on sight rather than scent. To accomplish this purpose, the Borzoi needed particular structural qualities to chase, catch and hold his quarry. Special emphasis is placed on sound running gear, strong neck and jaws, courage and agility, combined with proper condition. The Borzoi should always possess unmistakable elegance, with flowing lines, graceful in motion or repose. Males, masculine without coarseness; bitches, feminine and refined."

Japanese Chin,104,Toy,10,12,8,11,7,11,Weekly Brushing,Independent,Reserved with Strangers,"The Japanese Chin is a small, well balanced, lively, aristocratic toy dog with a distinctive Oriental expression. It is light and stylish in action. The plumed tail is carried over the back, curving to either side. The coat is profuse, silky, soft and straight. The dog&#8217;s outline presents a square appearance."

Schipperke,105,Non-Sporting,12,14,10.5,12.5,10,16,Weekly Brushing,Independent,Alert/Responsive,"The Schipperke is an agile, active watchdog and hunter of vermin. In appearance he is a small, thickset, cobby, black, tailless dog, with a fox-like face. The dog is square in profile and possesses a distinctive coat, which includes a stand-out ruff, cape and culottes. All of these create a unique silhouette, appearing to slope from shoulders to croup. Males are decidedly masculine without coarseness. Bitches are decidedly feminine without over-refinement. Any deviation from the ideal described in the standard should be penalized to the extent of the deviation. Faults common to all breeds are as undesirable in the Schipperke as in any other breed, even though such faults may not be specifically mentioned in the standard."

Belgian Tervuren,106,Herding,12,14,23.0,25.0,50.0,67.5,2-3 Times a Week Brushing,Easy Training,Reserved with Strangers,"The first impression of the Belgian Tervuren is that of a well-balanced, medium-size dog, elegant in appearance, standing squarely on all fours, with proud carriage of head and neck. He is strong, agile, well-muscled, alert and full of life. He gives the impression of depth and solidity without bulkiness. The male should appear unquestionably masculine; the female should have a distinctly feminine look and be judged equally with the male. The Belgian Tervuren is a natural dog and there is no need for excessive posing in the show ring. The Belgian Tervuren reflects the qualities of intelligence, courage, alertness and devotion to master. In addition to his inherent ability as a herding dog, he protects his master&#8217;s person and property without being overtly aggressive. He is watchful, attentive, and usually in motion when not under command. The Belgian Tervuren is a herding dog and versatile worker. The highest value is to be placed on qualities that maintain these abilities, specifically, correct temperament, gait, bite and coat."

Welsh Terrier,107,Terrier,12,15,,,,,2-3 Times a Week Brushing,Agreeable,Outgoing,"The Welsh Terrier is a sturdy, compact, rugged dog of medium size with a coarse wire-textured coat. The legs, underbody and head are tan; the jacket black (or occasionally grizzle). The tail is docked to length meant to complete the image of a &#8220;square dog&#8221; approximately as high as he is long. The movement is a terrier trot typical of the long-legged terrier. It is effortless, with good reach and drive. The Welsh Terrier is friendly, outgoing to people and other dogs, showing spirit and courage. The &#8220;Welsh Terrier expression&#8221; comes from the set, color, and position of the eyes combined with the use of the ears."

Norwich Terrier,108,Terrier,12,15,,,,,Weekly Brushing,Agreeable,Friendly,"The Norwich Terrier, spirited and stocky with sensitive prick ears and a slightly foxy expression, is one of the smallest working terriers. This sturdy descendent of ratting companions, eager to dispatch small vermin alone or in a pack, has good bone and substance and an almost weatherproof coat. A hardy hunt terrier-honorable scars from fair wear and tear are acceptable."

Spinone Italiano,109,Sporting,10,12,22.5,26.0,,,Weekly Brushing,Agreeable,Alert/Responsive,"The Spinone has a distinctive profile and soft, almost-human expression. The breed is constructed for endurance. Muscular, vigorous and with powerful bone, the Spinone has a robust build that makes him resistant to fatigue and able to work on almost any terrain; big feet and a two-piece topline give the dog stability on rough ground. The Spinone covers ground efficiently, combining a purposeful, easy trot with an intermittent gallop. A harsh, single coat and thick skin enable the Spinone to negotiate underbrush and endure cold water that would punish any dog not so naturally armored. This versatile pointer is a proficient swimmer and an excellent retriever by nature. The Spinone is patient, methodical and cooperative in the field, and has a gentle demeanor."

Boxer,11,Working,10,12,22.0,24.0,,,Weekly Brushing,Easy Training,Outgoing,"The ideal Boxer is a medium-sized, square-built dog of good substance with short back, strong limbs, and short, tight-fitting coat. His well-developed muscles are clean, hard, and appear smooth under taut skin. His movements denote energy. The gait is firm yet elastic, the stride free and ground-covering, the carriage proud. Developed to serve as guard, working, and companion dog, he combines strength and agility with elegance and style. His expression is alert and his temperament steadfast and tractable.  The chiseled head imparts to the Boxer a unique individual stamp. It must be in correct proportion to the body. The broad, blunt muzzle is the distinctive feature, and great value is placed upon its being of proper form and balance with the skull.  In judging the Boxer first consideration is given to general appearance and overall balance. Special attention is then devoted to the head, after which the individual body components are examined for their correct construction, and the gait evaluated for efficiency."

Miniature Bull Terrier,110,Terrier,11,13,10,14,18,28,Occasional Bath/Brush,Independent,Alert/Responsive,"The Miniature Bull Terrier must be strongly built, symmetrical and active, with a keen, determined and intelligent expression. He should be full of fire, having a courageous, even temperament and be amenable to discipline."

Toy Fox Terrier,111,Toy,13,15,,,3,7,Weekly Brushing,Eager to Please,Friendly,"The Toy Fox Terrier is truly a toy and a terrier and both have influenced his personality and character. As a terrier, the Toy Fox Terrier possesses keen intelligence, courage, and animation. As a toy his is diminutive, and devoted with an endless abiding love for his master. The Toy Fox Terrier is a well-balanced Toy dog of athletic appearance displaying grace and agility in equal measure with strength and stamina. His lithe muscular body has a smooth elegant outline which conveys the impression of effortless movement and endless endurance. He is naturally well groomed, proud, animated, and alert. Characteristic traits are his elegant head, his short glossy and predominantly white coat, coupled with a predominantly solid head, and his short high-set tail."

Silky Terrier,112,Toy,13,15,9,10,,,2-3 Times a Week Brushing,Agreeable,Alert/Responsive,"The Silky Terrier is a true &#8220;toy terrier&#8221;. He is moderately low set, slightly longer than tall, of refined bone structure, but of sufficient substance to suggest the ability to hunt and kill domestic rodents. His coat is silky in texture, parted from the stop to the tail and presents a well groomed but not sculptured appearance. His inquisitive nature and joy of life make him an ideal companion."

Afghan Hound,113,Hound,12,15,25,27,50,60,Daily Brushing,May be Stubborn,Aloof/Wary,"The Afghan Hound is an aristocrat, his whole appearance one of dignity and aloofness with no trace of plainness or coarseness. He has a straight front, proudly carried head, eyes gazing into the distance as if in memory of ages past. The striking characteristics of the breed-exotic, or &#8220;Eastern,&#8221; expression, long silky topknot, peculiar coat pattern, very prominent hipbones, large feet, and the impression of a somewhat exaggerated bend in the stifle due to profuse trouserings-stand out clearly, giving the Afghan Hound the appearance of what he is, a king of dogs, that has held true to tradition throughout the ages."

Pointer,114,Sporting,12,17,24.0,27.0,50.0,70.0,Weekly Brushing,Agreeable,Alert/Responsive,"The Pointer is bred primarily for sport afield; he should unmistakably look and act the part. The ideal specimen gives the immediate impression of compact power and agile grace; the head noble, proudly carried; the expression intelligent and alert; the muscular body bespeaking both staying power and dash. Here is an animal whose every movement shows him to be a wide-awake, hard-driving hunting dog possessing stamina, courage, and the desire to go. And in his expression are the loyalty and devotion of a true friend of man."

Gordon Setter,115,Sporting,12,13,23.5,26.5,50.0,75.0,Weekly Brushing,Independent,Reserved with Strangers,"The Gordon Setter is a good-sized, sturdily built, black and tan dog, well muscled, with plenty of bone and substance, but active, upstanding and stylish, appearing capable of doing a full day&#8217;s work in the field. He has a strong, rather short back, with well sprung ribs and a short tail. The head is fairly heavy and finely chiseled. His bearing is intelligent, noble, and dignified, showing no signs of shyness or viciousness. Clear colors and straight or slightly waved coat are correct. He suggests strength and stamina rather than extreme speed. Symmetry and quality are most essential. A dog well balanced in all points is preferable to one with outstanding good qualities and defects. A smooth, free movement, with high head carriage, is typical."

Irish Terrier,116,Terrier,13,15,,,,,Occasional Bath/Brush,Agreeable,Alert/Responsive,"The over-all appearance of the Irish Terrier is important. In conformation he must be more than a sum of his parts. He must be all-of-a piece, a balanced vital picture of symmetry, proportion and harmony. Furthermore, he must convey character. This terrier must be active, lithe and wiry in movement, with great animation; sturdy and strong in substance and bone structure, but at the same time free from clumsiness, for speed, power and endurance are most essential. The Irish Terrier must be neither &#8220;cobby&#8221; nor &#8220;cloddy,&#8221; but should be built on lines of speed with a graceful, racing outline."

Parson Russell Terrier,117,Terrier,13,15,,,13,17,Weekly Brushing,Agreeable,Friendly,"To function as a working terrier, he must possess certain characteristics: a ready attitude, alert and confident; balance in height and length; medium in size and bone, suggesting strength and endurance. Important to breed type is a natural appearance: harsh, weatherproof coat with a compact construction and clean silhouette. The coat is broken or smooth. He has a small, flexible chest to enable him to pursue his quarry underground and sufficient length of leg to follow the hounds."

Black Russian Terrier,118,Working,10,12,26.5,29.5,80,130,Daily Brushing,Easy Training,Reserved with Strangers,"The Black Russian Terrier is a robust, large, balanced, agile and powerful dog.  He has large bone and well-developed muscles, and a great strength and endurance. The Black Russian Terrier must have a stable and reliable temperament, possessing self-assurance and courage."

Tibetan Spaniel,119,Non-Sporting,12,15,,,9,15,Weekly Brushing,Agreeable,Alert/Responsive,"Should be small, active and alert. The outline should give a well balanced appearance, slightly longer in body than the height at withers. <strong>Fault</strong> &#8211; Coarseness of type."

Dachshund,12,Hound,12,16,,,,,Weekly Brushing,Agreeable,Alert/Responsive,"Low to ground, long in body and short of leg, with robust muscular development; the skin is elastic and pliable without excessive wrinkling. Appearing neither crippled, awkward, nor cramped in his capacity for movement, the Dachshund is well-balanced with bold and confident head carriage and intelligent, alert facial expression. His hunting spirit, good nose, loud tongue and distinctive build make him well-suited for below-ground work and for beating the bush. His keen nose gives him an advantage over most other breeds for trailing. NOTE: Inasmuch as the Dachshund is a hunting dog, scars from honorable wounds shall not be considered a fault."

Saluki,120,Hound,10,17,,,40,65,Occasional Bath/Brush,Independent,Reserved with Strangers,"The whole appearance of this breed should give an impression of grace and symmetry and of great speed and endurance coupled with strength and activity to enable it to kill gazelle or other quarry over deep sand or rocky mountains. The <strong><em>expression</em></strong> should be dignified and gentle with deep, faithful, far-seeing eyes. Dogs should average in height from 23 to 28 inches and bitches may be considerably smaller, this being very typical of the breed."

Boerboel,121,Working,9,11,23.0,26.0,150,200,Occasional Bath/Brush,Agreeable,Reserved with Strangers,"Historically the Boerboel developed as a general farm dog for the pioneers who settled in South Africa since the seventeenth century. These dogs were often the first line of defense against predators and were valuable in tracking and holding down wounded game. Old farmers told many a tale of the strength, agility and courage of the Boerboel. The dangers and harsh conditions of southern Africa allowed only the fittest to survive. The protective character of the Boerboel is today still evident and is much sought after, as is the calm, stable and confident composure of the breed. The origin and purpose of the Boerboel should be understood in order to preserve the unique identity and qualities of the breed as a South African developed mastiff. Type, conformation, functional efficiency and mentality are equally important in the evaluation of the Boerboel as a whole. The Boerboel is a large dog that is strong, confident and muscular in appearance with powerful, free-flowing movement. When observing a Boerboel at play or work, standing or moving, it should show strength, suppleness, nimbleness and agility."

American Eskimo Dog,122,Non-Sporting,13,15,,,,,Weekly Brushing,Eager to Please,Outgoing,"The American Eskimo Dog, a loving companion dog, presents a picture of strength and agility, alertness and beauty. It is a small to medium-size Nordic type dog, always white, or white with biscuit cream. The American Eskimo Dog is compactly built and well balanced, with good substance, and an alert, smooth gait. The face is Nordic type with erect triangular shaped ears, and distinctive black points (lips, nose, and eye rims). The white double coat consists of a short, dense undercoat, with a longer guard hair growing through it forming the outer coat, which is straight with no curl or wave. The coat is thicker and longer around the neck and chest forming a lion-like ruff, which is more noticeable on dogs than on bitches. The rump and hind legs down to the hocks are also covered with thicker, longer hair forming the characteristic breeches. The richly plumed tail is carried loosely on the back."

Smooth Fox Terrier,123,Terrier,12,15,,,,,Weekly Brushing,Agreeable,Friendly,"The Terrier, like the Hound, must on no account be leggy, nor must he be too short in the leg. He should stand like a cleverly made hunter, covering a lot of ground, yet with a short back, as stated below. He will then attain the highest degree of propelling power, together with the greatest length of stride that is compatible with the length of his body. Weight is not a certain criterion of a Terrier&#8217;s fitness for his work-general shape, size and contour are the main points; and if a dog can gallop and stay, and follow his fox up a drain, it matters little what his weight is to a pound or so."

Beauceron,124,Herding,10,12,24.5,26.5,70,110,2-3 Times a Week Brushing,Easy Training,Reserved with Strangers,"The ideal Beauceron is a well balanced, solid dog of good height and well muscled without heaviness or coarseness. The whole conformation gives the impression of depth and solidity without bulkiness, exhibiting the strength, endurance and agility required of the herding dog. He is alert and energetic with a noble carriage. A formidable dog with a frank and unwavering expression, he always demands respect wherever he goes. Male dogs are characteristically larger throughout with a larger frame and heavier bone than bitches. Bitches are distinctly feminine, but without weakness in substance or structure. The Beauceron should be discerning and confident. He is a dog with spirit and initiative, wise and fearless with no trace of timidity. Intelligent, easily trained, faithful, gentle and obedient."

Belgian Sheepdog,125,Herding,12,14,23.0,25.0,50.0,67.5,2-3 Times a Week Brushing,Easy Training,Reserved with Strangers,"The first impression of the Belgian Sheepdog is that of a well balanced, square dog, elegant in appearance, with an exceedingly proud carriage of the head and neck. He is a strong, agile, well-muscled animal, alert and full of life. His whole conformation gives the impression of depth and solidity without bulkiness. The male dog is usually somewhat more impressive and grand than his female counterpart. The bitch should have a distinctly feminine look."

Norfolk Terrier,126,Terrier,12,16,9,10,11,12,Weekly Brushing,Agreeable,Friendly,"The Norfolk Terrier, game and hardy, with expressive dropped ears, is one of the smallest of the working terriers. It is active and compact, free-moving, with good substance and bone. With its natural, weather-resistant coat and short legs, it is a &#8220;perfect demon&#8221; in the field. This versatile, agreeable breed can go to ground, bolt a fox and tackle or dispatch other small vermin, working alone or with a pack. Honorable scars from wear and tear are acceptable in the ring."

Bearded Collie,127,Herding,12,14,20.5,21.5,45,55,Daily Brushing,Independent,Outgoing,"The Bearded Collie is a medium sized dog with a medium length coat that follows the natural lines of the body and allows plenty of daylight under the body. The body is long and lean, and, though strongly made, does not appear heavy. A bright inquiring <strong>expression</strong> is a distinctive feature of the breed. The Bearded Collie should be shown in a natural stance."

Welsh Springer Spaniel,128,Sporting,12,15,17.5,18.5,37.5,52.5,Weekly Brushing,Easy Training,Friendly,"The Welsh Springer Spaniel is an attractive dog of handy size, exhibiting substance without coarseness. He is compact, not leggy, obviously built for hard work and endurance. The Welsh Springer Spaniel gives the impression of length due to obliquely angled forequarters and well developed hindquarters. Being a hunting dog, he should be shown in hard muscled working condition. His coat should not be so excessive as to hinder his work as an active flushing spaniel, but should be thick enough to protect him from heavy cover and weather."

Kerry Blue Terrier,129,Terrier,12,15,17.5,19.0,,,2-3 Times a Week Brushing,May be Stubborn,Alert/Responsive,"The typical Kerry Blue Terrier should be upstanding well knit and in good balance, showing a well-developed and muscular body with definite terrier style and character throughout. Correct coat and color are important. A low-slung Kerry is not typical."

Pembroke Welsh Corgi,13,Herding,12,13,10,12,,,Weekly Brushing,Agreeable,Outgoing,"Low-set, strong, sturdily built and active, giving an impression of substance and stamina in a small space. Should not be so low and heavy-boned as to appear coarse or overdone, nor so light-boned as to appear racy. Outlook bold, but kindly. Expression intelligent and interested. Never shy nor vicious."

Bluetick Coonhound,130,Hound,11,12,21.5,26.0,50.0,72.5,Weekly Brushing,Agreeable,Friendly,"The Bluetick should have the appearance of a speedy and well-muscled hound. He never appears clumsy or overly chunky in build. He has a neat, compact body, a glossy coat and clear, keen eyes. In motion he carries his head and tail well up."

Tibetan Mastiff,131,Working,10,12,,,80.0,135.0,2-3 Times a Week Brushing,Independent,Alert/Responsive,"Noble and impressive: a large, but not a giant breed. An athletic and substantial dog, of solemn but kindly appearance. The Tibetan Mastiff stands well up on the pasterns, with strong, tight, cat feet, giving an alert appearance. The body is slightly longer than tall. The hallmarks of the breed are the head and the tail. The head is broad and impressive, with substantial back skull, the eyes deep-set and almond shaped, slightly slanted, the muzzle broad and well-padded, giving a square appearance. The typical expression of the breed is one of watchfulness. The tail and britches are well feathered and the tail is carried over the back in a single curl falling over the loin, balancing the head. The coat and heavy mane is thick, with coarse guard hair and a wooly undercoat."

Briard,132,Herding,,,22.5,26.0,55,100,Daily Brushing,Independent,Reserved with Strangers,"A dog of handsome form. Vigorous and alert, powerful without coarseness, strong in bone and muscle, exhibiting the strength and agility required of the herding dog. Dogs lacking these qualities, however concealed by the coat, are to be penalized."

Manchester Terrier (Standard),133,Terrier,15,17,15,16,12,22,Weekly Brushing,Easy Training,Alert/Responsive,"A small, black, short-coated dog with distinctive rich mahogany markings and a taper style tail. In structure, the Manchester presents a sleek, sturdy, yet elegant look, and has a wedge-shaped, long and clean head with a keen, bright, alert expression. The smooth, compact, muscular body expresses great power and agility, enabling the Manchester to kill vermin and course small game. Except for size and ear options, there are no differences between the Standard and <a href=""https://www.akc.org/dog-breeds/manchester-terrier-toy/"">Toy</a> varieties of the Manchester Terrier. The <a href=""https://www.akc.org/dog-breeds/manchester-terrier-toy/"">Toy</a> is a diminutive version of the Standard variety."

German Pinscher,134,Working,12,14,17,20,25,45,Occasional Bath/Brush,Agreeable,Alert/Responsive,"The German Pinscher is a medium size, short coated dog, elegant in appearance with a strong square build and moderate body structure, muscular and powerful for endurance and agility. Energetic, watchful, alert, agile, fearless, determined, intelligent and loyal, the German Pinscher has the prerequisites to be an excellent watchdog and companion. The German Pinscher is examined on the ground."

English Toy Spaniel,135,Toy,10,12,9,10,8,14,2-3 Times a Week Brushing,Independent,Alert/Responsive,"The English Toy Spaniel is a compact, cobby and essentially square toy dog possessed of a short-nosed, domed head, a merry and affectionate demeanor and a silky, flowing coat. His compact, sturdy body and charming temperament, together with his rounded head, lustrous dark eye, and well cushioned face, proclaim him a dog of distinction and character. The important characteristics of the breed are exemplified by the head."

American Hairless Terrier,136,Terrier,14,16,12,16,12,16,,,,"The American Hairless Terrier is a small to medium sized, smoothly muscled and active terrier. Ancestors of the breed were bred to hunt rats and other vermin. The lack of coat on the hairless variety of the American Hairless Terrier renders them unsuited for most hunting activities. They have, however, retained a strong hunting instinct and excel in many other activities and sports. The breed is energetic, alert, curious and intelligent."

Treeing Walker Coonhound,137,Hound,12,13,21.0,26.0,50,70,Occasional Bath/Brush,Independent,Friendly,"Characteristics &#8211; Called &#8216;the people&#8217;s choice&#8217; among all coonhound breeds, the energetic Treeing Walker is perfectly suited for the task for which it was bred &#8211; tracking and treeing wild raccoons in their natural haunts. The breed&#8217;s competitive spirit makes it an ideal choice for competitive coonhound events where the breed excels. The Treeing Walker Coonhound is alert, intelligent, active, courteous, and courageous with extreme endurance and the desire to perform."

Black and Tan Coonhound,138,Hound,10,12,24.0,26.0,65,110,Weekly Brushing,Independent,Friendly,"The Black and Tan Coonhound is first and fundamentally a working dog, a trail and tree hound, capable of withstanding the rigors of winter, the heat of summer, and the difficult terrain over which he is called upon to work. Used principally for trailing and treeing raccoon, the Black and Tan Coonhound runs his game entirely by scent. The characteristics and courage of the Coonhound also make him proficient on the hunt for deer, bear, mountain lion and other big game. Judges are asked by the club sponsoring the breed to place great emphasis upon these facts when evaluating the merits of the dog. The general impression is that of power, agility and alertness. He immediately impresses one with his ability to cover the ground with powerful rhythmic strides."

Siberian Husky,14,Working,12,14,20.5,22.5,40.0,55.0,Weekly Brushing,Independent,Friendly,"The Siberian Husky is a medium-sized working dog, quick and light on his feet and free and graceful in action. His moderately compact and well furred body, erect ears and brush tail suggest his Northern heritage. His characteristic gait is smooth and seemingly effortless. He performs his original function in harness most capably, carrying a light load at a moderate speed over great distances. His body proportions and form reflect this basic balance of power, speed and endurance."

Xoloitzcuintli,140,Non-Sporting,13,18,,,,,Occasional Bath/Brush,Agreeable,Alert/Responsive,"The Xolo is an ancient, natural breed, molded by evolution rather than selective breeding. A Xolo is moderate in all aspects of type and conformation, never extreme or overdone. Today the breed serves as a guard and companion. The Xolo possesses a clean, graceful outline, equally combining elegance and strength. There are two varieties, hairless and coated, identical except for coat and dentition. In the hairless variety, the principal characteristic is the total or almost total absence of hair. The coated variety is covered by a short, flat coat. In conformation, all three sizes are lean, sturdy, well muscled with a spacious rib-cage, and moderate bone. The Xolo outline is rectangular, and the distance from the elbow to ground is equal to, or slightly greater than, the distance from the withers to the elbow. Typical Xolo temperament is calm, tranquil, aloof and attentive."

Australian Terrier,140,Terrier,11,15,10,11,15,20,Weekly Brushing,Agreeable,Friendly,"A small, sturdy, medium-boned working terrier, rather long in proportion to height with pricked ears and docked tail. Blue and tan, solid sandy or solid red in color, with harsh-textured outer coat, a distinctive ruff and apron, and a soft, silky topknot. As befits their heritage as versatile workers, Australian Terriers are sound and free moving with good reach and drive. Their expression keen and intelligent; their manner spirited and self-assured."

Redbone Coonhound,142,Hound,12,15,21.5,26.5,45,70,Weekly Brushing,Easy Training,Friendly,"Hunted from swamplands to mountains, the Redbone is surefooted and swift, even on the most difficult terrain. Well-balanced, with a flashy red coat and excellent cold nose, the powerfully built Redbone mingles handsome looks with a confident air and fine hunting talents."

Clumber Spaniel,143,Sporting,10,12,17.5,19.5,62.5,77.5,Weekly Brushing,Agreeable,Reserved with Strangers,"The Clumber Spaniel is a long, low, substantial dog. His heavy brow, deep chest, straight forelegs, powerful hindquarters, massive bone and good feet all give him the power and endurance to move through dense underbrush in pursuit of game. His white coat enables him to be seen by the hunter as he works within gun range. His stature is dignified, his expression pensive, but at the same time he shows great enthusiasm for work and play."

Berger Picard,144,Herding,12,13,22.0,24.0,50,70,Occasional Bath/Brush,Easy Training,Alert/Responsive,"The Berger Picard is an ancient breed developed by the farmers and sheep herders of the Picardy region of northern France. They are medium-sized, sturdily built &amp; well-muscled without being bulky, slightly longer than tall, with distinctive erect natural ears, wiry coat of moderate length, and a tail reaching to the hock and ending in a J-hook. Movement is free and easy, efficient, and tireless to allow them to work all day on the farm and in the fields. They are lively and alert, observant, quietly confident, and can be aloof with strangers, but should not be timid or nervous. This is a rustic, working shepherd&#8217;s dog, without exaggeration or refinement."

Greyhound,145,Hound,10,13,27.5,29.0,62.5,67.5,Occasional Bath/Brush,Independent,Friendly,

Irish Red and White Setter,146,Sporting,11,15,23.0,25.0,38.5,55.0,Weekly Brushing,Easy Training,Friendly,"The Irish Red and White Setter is bred primarily for the field. The standard as set out hereunder must be interpreted chiefly from this point of view and all judges at bench shows must be encouraged to judge the exhibits chiefly from the working standpoint. The appearance is strong and powerful, well balanced and proportioned without lumber; athletic rather than racy with an aristocratic, keen and intelligent attitude."

Lakeland Terrier,147,Terrier,12,15,,,,,Weekly Brushing,Agreeable,Alert/Responsive,"The Lakeland Terrier is a small, workmanlike dog of square, sturdy build. His body is deep and relatively narrow, which allows him to squeeze into rocky dens. He has sufficient length of leg under him to cover rough ground easily. His neck is long, leading smoothly into high withers and a short topline ending in a high tail set. His attitude is gay, friendly, and self-confident, but not overly aggressive. He is alert and ready to go. His movement is lithe and graceful, with a straight-ahead, free stride of good length. His head is rectangular, jaws are powerful, and ears are V-shaped. A dense, wiry coat is finished off with longer furnishings on muzzle and legs."

Affenpinscher,148,Toy,12,15,,,7,10,2-3 Times a Week Brushing,Easy Training,Outgoing,"The Affenpinscher is a balanced, wiry-haired terrier-like toy dog whose intelligence and demeanor make it a good house pet. Originating in Germany, the name Affenpinscher means &#8220;monkey-like terrier.&#8221; The breed was developed to rid the kitchens, granaries, and stables of rodents. In France the breed is described as the &#8220;Diablotin Moustachu&#8221; or moustached little devil. Both describe the appearance and attitude of this delightful breed. The total overall appearance of the Affenpinscher is more important than any individual characteristic. He is described as having a neat but shaggy appearance.  Size, Proportion, Substance: A sturdy, compact dog with medium bone, not delicate in any way. Preferred height at the withers is 91⁄2 to 111⁄2 inches. Withers height is approximately the same as the length of the body from the point of the shoulder to point of the buttocks, giving a square appearance. The female may be slightly longer."

Affenpinscher,148,Toy,12,15,,,7,10,2-3 Times a Week Brushing,Easy Training,Outgoing,"The Affenpinscher is a balanced, wiry-haired terrier-like toy dog whose intelligence and demeanor make it a good house pet. Originating in Germany, the name Affenpinscher means &#8220;monkey-like terrier.&#8221; The breed was developed to rid the kitchens, granaries, and stables of rodents. In France the breed is described as the &#8220;Diablotin Moustachu&#8221; or moustached little devil. Both describe the appearance and attitude of this delightful breed. The total overall appearance of the Affenpinscher is more important than any individual characteristic. He is described as having a neat but shaggy appearance.  Size, Proportion, Substance: A sturdy, compact dog with medium bone, not delicate in any way. Preferred height at the withers is 91⁄2 to 111⁄2 inches. Withers height is approximately the same as the length of the body from the point of the shoulder to point of the buttocks, giving a square appearance. The female may be slightly longer."

Field Spaniel,149,Sporting,12,13,,,35,50,Weekly Brushing,Agreeable,Reserved with Strangers,"The Field Spaniel is a combination of beauty and utility. It is a well balanced, substantial hunter-companion of medium size, built for activity and endurance in a heavy cover and water. It has a noble carriage; a proud but docile attitude; is sound and free moving. Symmetry, gait, attitude and purpose are more important than any one part."

